investor_id,transaction_date,amfi_code,transaction_type,amount,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,units
INV001400,2024-01-01,148567,SIP,10696,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,Verified,113.20375299652325
INV000852,2024-01-01,101208,SIP,15916,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,Verified,44.97672745420024
INV004915,2024-01-01,120504,SIP,14096,Uttar Pradesh,Kanpur,B30,26-35,Male,9.6,Cheque,Verified,159.90507337868667
INV002984,2024-01-01,120844,Redemption,230179,Delhi,Gurugram,T30,26-35,Male,18.1,Mandate,Verified,62.914771079218504
INV002782,2024-01-01,102886,Lumpsum,250209,Punjab,Chandigarh,T30,18-25,Male,3.7,UPI,Verified,1976.288549865527
INV002316,2024-01-01,118632,SIP,4715,Punjab,Amritsar,B30,26-35,Male,16.7,Cheque,Verified,57.593906161631836
INV000097,2024-01-01,125498,Redemption,527377,Karnataka,Mysore,B30,18-25,Male,6.0,Net Banking,Verified,3708.2895910929665
INV002139,2024-01-01,125498,Redemption,359482,Haryana,Gurugram,T30,36-45,Female,28.6,Mandate,Verified,2527.7237323305376
INV002219,2024-01-01,101208,Redemption,525983,Karnataka,Mysore,B30,26-35,Male,6.9,Mandate,Verified,1486.365546402526
INV000576,2024-01-01,120841,Redemption,43157,Delhi,New Delhi,T30,46-55,Male,79.7,UPI,Verified,99.45975494694574
INV002166,2024-01-01,120844,SIP,1139,Haryana,Gurugram,T30,36-45,Male,33.3,Net Banking,Verified,0.31132259788786065
INV000836,2024-01-01,100016,SIP,1139,Haryana,Gurugram,T30,26-35,Male,24.4,Mandate,Verified,1.912242667791739
INV001540,2024-01-01,101207,SIP,16264,Maharashtra,Pune,T30,26-35,Female,17.3,UPI,Verified,277.6213056941045
INV003664,2024-01-01,125498,SIP,15555,Rajasthan,Udaipur,B30,46-55,Male,29.4,UPI,Verified,109.3761096700294
INV002966,2024-01-01,149324,SIP,15946,Gujarat,Ahmedabad,T30,26-35,Female,18.4,Mandate,Verified,107.27305385112686
INV002387,2024-01-01,118634,SIP,2891,Telangana,Hyderabad,T30,26-35,Male,13.1,UPI,Verified,28.665142354012026
INV000983,2024-01-01,101206,SIP,3538,Telangana,Hyderabad,T30,36-45,Male,33.5,UPI,Verified,9.126292880743495
INV004128,2024-01-01,119094,Redemption,58934,Haryana,Faridabad,B30,18-25,Male,3.3,UPI,Verified,565.9330106783437
INV000081,2024-01-01,120844,SIP,1842,Gujarat,Surat,T30,36-45,Male,31.0,Net Banking,Verified,0.5034734199380503
INV004548,2024-01-01,119551,Lumpsum,564276,Delhi,Noida,T30,36-45,Female,58.1,Cheque,Verified,7969.122045876302
INV002253,2024-01-01,120844,Redemption,289915,West Bengal,Kolkata,T30,46-55,Male,28.6,Net Banking,Verified,79.24239768802381
INV002942,2024-01-01,148568,Redemption,233200,Delhi,Noida,T30,36-45,Male,27.8,Cheque,Verified,1663.9398127568243
INV004308,2024-01-01,119599,SIP,25855,Gujarat,Surat,T30,26-35,Female,11.1,Mandate,Verified,214.91799367756232
INV000488,2024-01-01,148568,Redemption,343317,Karnataka,Mysore,B30,56+,Male,31.4,Cheque,Verified,2449.65190693068
INV002560,2024-01-02,119120,SIP,6321,Haryana,Faridabad,B30,26-35,Male,6.4,Net Banking,Verified,130.20908435472242
INV003028,2024-01-02,100033,SIP,25360,Tamil Nadu,Chennai,T30,26-35,Female,12.8,Cheque,Verified,150.01336869926104
INV002868,2024-01-02,148569,SIP,59797,Gujarat,Ahmedabad,T30,26-35,Female,24.7,Net Banking,Verified,1212.0309225274748
INV001156,2024-01-02,120843,SIP,28986,Madhya Pradesh,Indore,T30,56+,Female,58.8,Cheque,Pending,327.7835764438207
INV000313,2024-01-02,120843,Lumpsum,497034,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Net Banking,Verified,5620.630032918581
INV003926,2024-01-02,118632,SIP,1891,West Bengal,Kolkata,T30,46-55,Male,92.8,UPI,Verified,23.080115217497436
INV003383,2024-01-02,125497,Redemption,241316,Karnataka,Mysore,B30,18-25,Male,4.6,Net Banking,Verified,286.78266749617774
INV001017,2024-01-02,118632,Redemption,16893,West Bengal,Kolkata,T30,26-35,Female,19.0,Cheque,Verified,206.18317629253528
INV003225,2024-01-02,120843,SIP,3346,West Bengal,Kolkata,T30,26-35,Male,9.2,UPI,Verified,37.83770947288429
INV003892,2024-01-02,102887,SIP,7250,Punjab,Amritsar,B30,46-55,Male,24.4,Mandate,Verified,38.106350883278935
INV002135,2024-01-02,100016,Lumpsum,437305,Gujarat,Ahmedabad,T30,56+,Male,18.3,Net Banking,Verified,729.0183321091478
INV002961,2024-01-02,149322,SIP,16811,Gujarat,Ahmedabad,T30,26-35,Male,13.0,Net Banking,Verified,44.06087640021251
INV000983,2024-01-02,101208,SIP,10547,Telangana,Hyderabad,T30,36-45,Male,33.5,Net Banking,Verified,29.78606954074326
INV003821,2024-01-02,119092,SIP,7584,Delhi,Noida,T30,18-25,Female,6.4,UPI,Pending,144.93667620298012
INV002940,2024-01-02,102886,SIP,966,Haryana,Faridabad,B30,26-35,Male,18.3,Cheque,Verified,7.70054908263024
INV002817,2024-01-02,102886,Lumpsum,26453,Gujarat,Ahmedabad,T30,26-35,Male,15.8,UPI,Verified,210.87228248738896
INV001890,2024-01-02,120504,SIP,859,Madhya Pradesh,Bhopal,B30,26-35,Male,21.9,Mandate,Verified,9.641372374718278
INV001888,2024-01-02,120505,Redemption,410786,Delhi,New Delhi,T30,18-25,Female,6.4,UPI,Verified,1470.7350273856757
INV000370,2024-01-02,118634,SIP,17394,Delhi,Noida,T30,26-35,Female,12.4,Mandate,Verified,170.48010624378244
INV002981,2024-01-02,102886,Lumpsum,100110,Maharashtra,Mumbai,T30,18-25,Female,7.3,Mandate,Verified,798.0351642464941
INV003027,2024-01-02,148569,Lumpsum,330642,Telangana,Hyderabad,T30,26-35,Male,20.8,Cheque,Verified,6701.813273012514
INV001106,2024-01-02,118636,Lumpsum,50410,Tamil Nadu,Chennai,T30,26-35,Male,13.1,Net Banking,Verified,1568.5139722515223
INV003942,2024-01-02,118632,SIP,16594,Haryana,Faridabad,B30,26-35,Female,23.3,Cheque,Verified,202.53380852414196
INV000339,2024-01-02,101207,Redemption,383487,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Cheque,Verified,6714.072367372879
INV002811,2024-01-02,125497,SIP,2631,Uttar Pradesh,Agra,B30,36-45,Male,43.7,Net Banking,Verified,3.1267101981735306
INV004296,2024-01-02,100025,SIP,879,Telangana,Hyderabad,T30,26-35,Male,18.2,UPI,Verified,30.824151546818342
INV002976,2024-01-02,119599,Lumpsum,234926,Tamil Nadu,Coimbatore,B30,26-35,Male,23.7,Mandate,Verified,1985.2688900794865
INV000349,2024-01-02,120505,Redemption,335222,Maharashtra,Mumbai,T30,18-25,Female,3.8,Mandate,Verified,1200.1936223490602
INV002546,2024-01-02,101208,Redemption,22305,Gujarat,Surat,T30,26-35,Male,19.3,UPI,Verified,62.9921571163628
INV003505,2024-01-02,120843,Lumpsum,362856,West Bengal,Kolkata,T30,56+,Female,53.5,Net Banking,Verified,4103.299434696026
INV000006,2024-01-02,118633,SIP,8594,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Cheque,Verified,153.2732415667614
INV000662,2024-01-02,120843,SIP,427,Gujarat,Surat,T30,36-45,Female,20.1,Cheque,Verified,4.82866166913377
INV001284,2024-01-02,119092,Lumpsum,6499,West Bengal,Kolkata,T30,36-45,Male,49.0,Cheque,Verified,124.20140541181011
INV004127,2024-01-02,148568,SIP,4185,Madhya Pradesh,Indore,T30,36-45,Female,27.3,Mandate,Verified,30.129741474579063
INV003208,2024-01-02,120506,SIP,2506,Madhya Pradesh,Bhopal,B30,46-55,Male,80.0,Mandate,Verified,9.353224175061305
INV002165,2024-01-02,118634,SIP,2539,Telangana,Hyderabad,T30,46-55,Male,46.2,Net Banking,Verified,24.88495974203539
INV002621,2024-01-02,148567,SIP,401,Uttar Pradesh,Agra,B30,26-35,Female,22.6,UPI,Pending,4.290619379261864
INV004502,2024-01-02,148567,SIP,10492,Rajasthan,Udaipur,B30,36-45,Male,59.0,Net Banking,Verified,112.26229059155979
INV001174,2024-01-02,149323,SIP,977,Maharashtra,Nashik,B30,36-45,Male,12.7,Cheque,Verified,7.195537441098965
INV004658,2024-01-02,120842,Lumpsum,17258,Punjab,Chandigarh,T30,56+,Male,48.7,Cheque,Verified,255.14601631881865
INV004656,2024-01-02,120844,Lumpsum,357937,Haryana,Gurugram,T30,18-25,Male,4.7,Mandate,Verified,97.79461379778978
INV003658,2024-01-02,125498,SIP,12014,West Bengal,Kolkata,T30,26-35,Male,6.3,UPI,Verified,84.18046318173283
INV003649,2024-01-02,119598,Redemption,483596,Haryana,Gurugram,T30,46-55,Female,79.9,Cheque,Verified,2434.1476084150927
INV004582,2024-01-02,149323,Lumpsum,249744,Tamil Nadu,Chennai,T30,56+,Male,67.1,Net Banking,Verified,1839.3472903682905
INV003232,2024-01-02,120842,SIP,9766,Maharashtra,Pune,T30,36-45,Female,30.9,Mandate,Verified,144.38266284445376
INV004414,2024-01-02,149324,SIP,14409,Uttar Pradesh,Lucknow,T30,26-35,Male,6.6,Mandate,Verified,97.25356053053778
INV001799,2024-01-02,119120,Lumpsum,116421,Rajasthan,Udaipur,B30,56+,Female,45.2,Cheque,Verified,2398.207848388093
INV001506,2024-01-02,119552,Lumpsum,19502,Delhi,Noida,T30,26-35,Female,16.0,UPI,Verified,196.24733080686613
INV001699,2024-01-02,119095,SIP,1108,Madhya Pradesh,Indore,T30,26-35,Male,24.6,Net Banking,Verified,14.394639166150252
INV002196,2024-01-02,148569,SIP,1696,Delhi,Gurugram,T30,26-35,Female,23.6,UPI,Verified,34.376380831924635
INV001328,2024-01-02,120842,Redemption,484947,Uttar Pradesh,Lucknow,T30,26-35,Male,7.4,Net Banking,Verified,7169.561662751313
INV004567,2024-01-02,120841,SIP,14130,Telangana,Hyderabad,T30,56+,Male,75.0,Mandate,Verified,32.67326251891199
INV003865,2024-01-02,149322,SIP,3482,Gujarat,Ahmedabad,T30,18-25,Female,3.3,Cheque,Verified,9.12616570254833
INV000105,2024-01-02,119093,SIP,5253,Punjab,Chandigarh,T30,56+,Male,41.4,UPI,Verified,122.97039159503343
INV004514,2024-01-02,148568,SIP,16661,Haryana,Faridabad,B30,46-55,Male,40.1,Mandate,Verified,119.9502085323684
INV004516,2024-01-02,102885,SIP,1137,Haryana,Gurugram,T30,36-45,Male,14.4,Net Banking,Verified,8.821646784986909
INV002374,2024-01-02,118634,Redemption,81173,Uttar Pradesh,Kanpur,B30,26-35,Female,8.6,Net Banking,Verified,795.583630224592
INV001727,2024-01-02,119598,SIP,16687,Gujarat,Surat,T30,46-55,Female,74.1,Net Banking,Verified,83.99288071370039
INV002888,2024-01-03,100025,Redemption,259110,Rajasthan,Udaipur,B30,26-35,Male,9.2,Net Banking,Pending,9067.938672163447
INV001769,2024-01-03,120506,SIP,889,Punjab,Chandigarh,T30,18-25,Male,7.4,Cheque,Pending,3.2824255832766878
INV003609,2024-01-03,120843,SIP,16476,Karnataka,Mysore,B30,26-35,Male,9.2,Net Banking,Verified,187.30581346041694
INV003571,2024-01-03,149323,SIP,536,Haryana,Faridabad,B30,36-45,Male,53.1,UPI,Verified,3.9212501764928365
INV001367,2024-01-03,118632,SIP,10274,Maharashtra,Nashik,B30,36-45,Male,32.2,Net Banking,Verified,127.10658692709866
INV003178,2024-01-03,119094,Lumpsum,118897,Telangana,Hyderabad,T30,46-55,Female,60.9,Cheque,Verified,1123.5905151069564
INV002599,2024-01-03,100025,Lumpsum,286111,Gujarat,Surat,T30,26-35,Male,11.4,Net Banking,Verified,10012.878705690078
INV003626,2024-01-03,125497,Redemption,483044,Madhya Pradesh,Indore,T30,26-35,Male,23.5,Net Banking,Verified,579.5267413432231
INV000690,2024-01-03,148569,Lumpsum,173646,Delhi,Gurugram,T30,46-55,Male,98.7,UPI,Verified,3504.679404765989
INV001860,2024-01-03,119092,SIP,1978,Karnataka,Mysore,B30,26-35,Female,9.0,Cheque,Verified,37.50402912345234
INV002065,2024-01-03,100025,SIP,47647,Rajasthan,Udaipur,B30,46-55,Male,78.6,UPI,Verified,1667.4774185194387
INV002708,2024-01-03,120504,Redemption,205486,Karnataka,Mysore,B30,26-35,Male,14.0,Mandate,Verified,2317.118413381791
INV004288,2024-01-03,119120,Lumpsum,95676,Punjab,Amritsar,B30,18-25,Female,6.1,Mandate,Verified,1971.591248637365
INV004581,2024-01-03,120505,SIP,2292,Gujarat,Surat,T30,26-35,Male,14.7,Cheque,Pending,8.02924438574704
INV002467,2024-01-03,125498,SIP,50948,Punjab,Chandigarh,T30,36-45,Male,12.3,UPI,Verified,356.3051350515911
INV003670,2024-01-03,120505,SIP,8793,Punjab,Chandigarh,T30,36-45,Male,38.4,Mandate,Verified,30.803292270451013
INV004024,2024-01-03,119552,SIP,43121,Telangana,Hyderabad,T30,36-45,Male,23.1,UPI,Verified,435.2012304847759
INV000747,2024-01-03,120841,Lumpsum,374549,West Bengal,Kolkata,T30,36-45,Female,40.3,Mandate,Verified,876.2376260786607
INV002847,2024-01-03,148567,SIP,4736,Haryana,Faridabad,B30,26-35,Male,13.4,Mandate,Verified,51.12422560723511
INV001508,2024-01-03,120503,SIP,7953,Tamil Nadu,Coimbatore,B30,46-55,Male,63.3,Cheque,Verified,106.01710030633383
INV004562,2024-01-03,149324,SIP,963,Telangana,Hyderabad,T30,26-35,Female,19.0,Cheque,Pending,6.507060126451841
INV001350,2024-01-03,125498,Lumpsum,83480,Madhya Pradesh,Bhopal,B30,46-55,Female,31.7,Net Banking,Verified,583.8178667289554
INV002357,2024-01-03,100016,SIP,26713,Delhi,Gurugram,T30,26-35,Male,7.8,UPI,Verified,44.54560993200512
INV002059,2024-01-03,101208,Lumpsum,268619,Haryana,Faridabad,B30,46-55,Male,95.1,Net Banking,Verified,758.4340883820973
INV000595,2024-01-03,102887,Lumpsum,124825,Gujarat,Surat,T30,18-25,Male,7.6,Cheque,Verified,648.4563803016796
INV004391,2024-01-03,118636,SIP,484,Maharashtra,Mumbai,T30,26-35,Female,23.3,UPI,Verified,15.105080175518534
INV004733,2024-01-03,102885,SIP,7080,Telangana,Hyderabad,T30,18-25,Male,5.4,Net Banking,Pending,53.898998757582405
INV002865,2024-01-03,148569,Redemption,449863,Maharashtra,Pune,T30,18-25,Male,3.3,UPI,Verified,9079.53878042824
INV000454,2024-01-03,119599,SIP,15910,Uttar Pradesh,Lucknow,T30,18-25,Female,6.6,Net Banking,Verified,133.59868332661563
INV002414,2024-01-03,120507,Lumpsum,396379,Gujarat,Surat,T30,26-35,Female,24.1,UPI,Verified,1208.9107911373972
INV000321,2024-01-03,149323,SIP,15782,Maharashtra,Mumbai,T30,26-35,Male,24.2,Cheque,Verified,115.45740724889916
INV003379,2024-01-03,120841,SIP,1008,Uttar Pradesh,Lucknow,T30,36-45,Male,43.2,Cheque,Verified,2.358162822720899
INV004544,2024-01-03,148567,Redemption,410715,Maharashtra,Mumbai,T30,36-45,Male,52.1,Cheque,Verified,4433.590861544672
INV000527,2024-01-03,119094,Lumpsum,114021,Telangana,Hyderabad,T30,26-35,Male,12.1,Mandate,Verified,1077.5117464949517
INV004633,2024-01-03,125498,Lumpsum,296354,Telangana,Hyderabad,T30,18-25,Female,4.9,Net Banking,Verified,2072.553426887792
INV003737,2024-01-03,119093,Lumpsum,126721,Punjab,Chandigarh,T30,18-25,Male,4.4,Net Banking,Verified,2994.0058925124454
INV000679,2024-01-03,149323,Redemption,141968,Haryana,Faridabad,B30,46-55,Female,79.1,UPI,Verified,1038.6045616722668
INV004357,2024-01-03,125498,SIP,2459,Delhi,Gurugram,T30,46-55,Female,55.6,Cheque,Verified,17.197030837164608
INV004941,2024-01-03,120505,Lumpsum,310085,Maharashtra,Nashik,B30,26-35,Male,11.0,Net Banking,Verified,1086.2775939591497
INV000632,2024-01-03,120844,Lumpsum,246606,Delhi,Gurugram,T30,36-45,Male,49.1,UPI,Verified,67.36815442765602
INV000849,2024-01-03,148567,Lumpsum,254442,Delhi,Gurugram,T30,56+,Female,32.5,Cheque,Verified,2746.6533386731667
INV001167,2024-01-03,118636,SIP,41124,Punjab,Amritsar,B30,36-45,Male,26.7,Net Banking,Verified,1283.4324734256697
INV000007,2024-01-03,119094,SIP,13603,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Mandate,Verified,128.54993630621402
INV000431,2024-01-03,120504,SIP,23759,Madhya Pradesh,Bhopal,B30,18-25,Female,4.6,Mandate,Verified,267.91322223186967
INV002417,2024-01-03,120842,SIP,2719,Tamil Nadu,Coimbatore,B30,26-35,Male,16.8,Mandate,Verified,40.49740765950602
INV000011,2024-01-03,120507,SIP,2230,West Bengal,Kolkata,T30,26-35,Male,9.6,Mandate,Verified,6.801245939457932
INV001167,2024-01-03,102886,SIP,8419,Punjab,Amritsar,B30,36-45,Male,26.7,UPI,Verified,67.4434533227056
INV000954,2024-01-03,148568,SIP,2224,Haryana,Faridabad,B30,26-35,Female,8.3,Cheque,Verified,15.743483160702453
INV002101,2024-01-03,102887,Redemption,234810,Uttar Pradesh,Lucknow,T30,26-35,Male,14.7,Mandate,Verified,1219.8200893942512
INV000947,2024-01-03,101208,Redemption,281989,Delhi,Noida,T30,26-35,Male,11.0,UPI,Verified,796.1837031214443
INV004867,2024-01-03,100033,Lumpsum,331777,Karnataka,Bangalore,T30,18-25,Male,7.3,Mandate,Verified,1951.6443361037466
INV004125,2024-01-03,100016,SIP,2999,Gujarat,Surat,T30,26-35,Male,9.4,Cheque,Verified,5.001021382326334
INV001910,2024-01-03,102886,Redemption,502057,Karnataka,Mysore,B30,26-35,Female,15.2,Mandate,Verified,4021.909709566172
INV001411,2024-01-03,102886,SIP,2998,Delhi,Gurugram,T30,26-35,Female,7.1,Cheque,Verified,24.016566464125354
INV003326,2024-01-03,125498,SIP,2712,Karnataka,Bangalore,T30,36-45,Male,40.9,Mandate,Verified,18.966387812277517
INV004173,2024-01-03,120504,SIP,479,West Bengal,Kolkata,T30,26-35,Male,16.9,Mandate,Verified,5.4013398480182495
INV004867,2024-01-03,120506,SIP,3082,Karnataka,Bangalore,T30,18-25,Male,7.3,UPI,Pending,11.379567657658889
INV001454,2024-01-03,120843,SIP,554,Tamil Nadu,Chennai,T30,26-35,Male,9.3,Net Banking,Verified,6.298095451388139
INV003100,2024-01-04,149324,Lumpsum,361700,Telangana,Hyderabad,T30,26-35,Male,16.5,Net Banking,Verified,2379.8275891563553
INV000215,2024-01-04,120505,Lumpsum,190843,Maharashtra,Nashik,B30,26-35,Female,18.3,Mandate,Verified,670.1637492902184
INV003191,2024-01-04,119092,Lumpsum,94475,Madhya Pradesh,Bhopal,B30,18-25,Female,6.8,Mandate,Verified,1789.9942212412016
INV003946,2024-01-04,120504,Lumpsum,465127,Karnataka,Mysore,B30,26-35,Female,9.2,Net Banking,Verified,5218.716725739874
INV000330,2024-01-04,119552,SIP,8747,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Mandate,Verified,88.95474362585922
INV004797,2024-01-04,125497,Lumpsum,178854,Gujarat,Ahmedabad,T30,56+,Male,18.9,Net Banking,Verified,212.52964029999458
INV000330,2024-01-04,120841,Lumpsum,351770,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Net Banking,Verified,825.5389753103368
INV001128,2024-01-04,120844,Lumpsum,168521,West Bengal,Kolkata,T30,36-45,Female,43.2,Cheque,Verified,46.01949060778682
INV002302,2024-01-04,125498,Lumpsum,153713,West Bengal,Kolkata,T30,26-35,Male,10.1,UPI,Verified,1073.9592838268563
INV002495,2024-01-04,118636,SIP,2727,Maharashtra,Nashik,B30,26-35,Male,6.6,Net Banking,Verified,84.97630198838938
INV002158,2024-01-04,120507,Lumpsum,39096,Madhya Pradesh,Indore,T30,26-35,Male,14.5,Net Banking,Verified,119.22031087665778
INV000144,2024-01-04,120503,SIP,499,Delhi,Noida,T30,26-35,Male,19.1,Net Banking,Verified,6.580942960764919
INV004563,2024-01-04,118634,Lumpsum,38117,Gujarat,Surat,T30,46-55,Female,32.2,Cheque,Verified,379.40538555179853
INV002912,2024-01-04,149323,Redemption,520148,Maharashtra,Mumbai,T30,26-35,Female,23.6,Net Banking,Verified,3788.0187016618847
INV002343,2024-01-04,119093,SIP,1182,Punjab,Amritsar,B30,26-35,Male,22.1,Net Banking,Verified,28.07934434018292
INV000091,2024-01-04,120504,SIP,2368,Haryana,Gurugram,T30,26-35,Male,14.6,Mandate,Verified,26.568918180522783
INV004688,2024-01-04,120505,Lumpsum,168104,West Bengal,Kolkata,T30,26-35,Male,20.7,UPI,Verified,590.3135399814659
INV004321,2024-01-04,120843,SIP,1147,West Bengal,Kolkata,T30,26-35,Male,16.0,Mandate,Verified,12.843064912903419
INV001579,2024-01-04,125498,SIP,40657,Karnataka,Bangalore,T30,46-55,Male,71.1,UPI,Verified,284.0616122419607
INV003705,2024-01-04,120506,SIP,57004,Telangana,Hyderabad,T30,26-35,Male,8.0,UPI,Pending,207.74378024145423
INV000544,2024-01-04,120507,Lumpsum,295246,Madhya Pradesh,Bhopal,B30,18-25,Male,3.6,Mandate,Verified,900.3304661625154
INV001997,2024-01-04,120505,SIP,908,Delhi,New Delhi,T30,56+,Female,24.8,UPI,Verified,3.188530280678455
INV003707,2024-01-04,120506,SIP,3527,Telangana,Hyderabad,T30,36-45,Female,55.5,Mandate,Verified,12.853699966872659
INV000372,2024-01-04,148569,Lumpsum,209421,Gujarat,Surat,T30,36-45,Male,12.4,Cheque,Verified,4300.33183569205
INV001331,2024-01-04,120841,SIP,568,Gujarat,Ahmedabad,T30,26-35,Male,17.5,Net Banking,Verified,1.3329906984002937
INV002033,2024-01-04,102885,SIP,8905,Gujarat,Ahmedabad,T30,46-55,Male,18.9,UPI,Verified,67.528370636344
INV003953,2024-01-04,148569,SIP,58436,Maharashtra,Pune,T30,36-45,Male,17.4,Mandate,Verified,1199.9474319695762
INV003500,2024-01-04,120505,SIP,2007,Maharashtra,Mumbai,T30,26-35,Male,15.5,Mandate,Pending,7.047775631411518
INV003240,2024-01-04,101206,SIP,6686,Haryana,Gurugram,T30,26-35,Male,21.7,Net Banking,Pending,17.19057732160212
INV003040,2024-01-04,119598,Lumpsum,468352,Karnataka,Bangalore,T30,26-35,Female,15.3,Cheque,Verified,2407.817262693361
